<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2019-10-14	10:26:00	104535	104555	104520	104540	13	17	5
2019-10-14	10:27:00	104510	104565	104490	104565	24	31	5
2019-10-14	10:28:00	104565	104630	104565	104630	46	102	5
2019-10-14	10:29:00	104630	104635	104625	104625	13	57	5
2019-10-14	10:30:00	104645	104780	104645	104765	48	87	5
2019-10-14	10:31:00	104780	104810	104735	104765	30	99	5
2019-10-14	10:32:00	104795	104850	104790	104800	53	112	5
2019-10-14	10:33:00	104805	104875	104805	104870	42	90	5
2019-10-14	10:34:00	104890	104890	104845	104870	11	19	5
2019-10-14	10:35:00	104830	104830	104805	104820	15	22	5
2019-10-14	10:36:00	104845	104890	104830	104855	28	72	5
2019-10-14	10:37:00	104855	104900	104800	104800	17	21	5
2019-10-14	10:38:00	104785	104785	104710	104725	23	135	5
2019-10-14	10:39:00	104735	104760	104735	104745	27	111	5
2019-10-14	10:40:00	104745	104745	104600	104645	66	229	5
2019-10-14	10:41:00	104680	104710	104665	104710	19	38	5
2019-10-14	10:42:00	104685	104720	104685	104710	5	5	5
2019-10-14	10:43:00	104730	104750	104720	104745	24	107	5
2019-10-14	10:44:00	104725	104725	104680	104695	8	12	5
2019-10-14	10:45:00	104650	104700	104625	104660	22	32	5
2019-10-14	10:46:00	104650	104695	104620	104695	13	20	5
2019-10-14	10:47:00	104645	104645	104645	104645	1	3	5
2019-10-14	10:48:00	104655	104680	104655	104670	7	10	5
2019-10-14	10:49:00	104665	104760	104665	104745	34	66	5
2019-10-14	10:50:00	104755	104755	104685	104685	10	11	5
2019-10-14	10:51:00	104650	104650	104650	104650	4	8	5
2019-10-14	10:52:00	104635	104645	104620	104620	20	38	5
2019-10-14	10:53:00	104640	104675	104610	104675	22	56	5
2019-10-14	10:54:00	104630	104655	104630	104655	2	6	5
2019-10-14	10:55:00	104600	104700	104585	104675	16	40	5
2019-10-14	10:56:00	104670	104770	104670	104770	29	81	5
2019-10-14	10:57:00	104740	104825	104740	104825	9	14	5
2019-10-14	10:58:00	104840	104955	104840	104860	35	95	5
2019-10-14	10:59:00	104810	104810	104790	104790	5	5	5
2019-10-14	11:00:00	104800	104830	104790	104790	9	13	5
2019-10-14	11:01:00	104800	104800	104800	104800	1	1	5
2019-10-14	11:02:00	104830	104830	104735	104740	19	22	5
2019-10-14	11:03:00	104760	104795	104735	104795	12	19	5
2019-10-14	11:04:00	104810	104840	104810	104840	3	3	5
2019-10-14	11:05:00	104780	104780	104755	104775	9	9	5
2019-10-14	11:06:00	104755	104850	104755	104850	20	39	5
2019-10-14	11:07:00	104880	104900	104880	104895	8	8	5
2019-10-14	11:08:00	104895	104895	104835	104875	28	32	5
2019-10-14	11:09:00	104910	104940	104905	104915	19	23	5
2019-10-14	11:10:00	104950	104950	104915	104915	11	13	5
2019-10-14	11:11:00	104890	104925	104890	104920	5	6	5
2019-10-14	11:12:00	104900	104900	104900	104900	2	2	5
2019-10-14	11:13:00	104900	104905	104890	104895	6	6	5
2019-10-14	11:14:00	104860	104860	104785	104785	20	20	5
2019-10-14	11:15:00	104800	104800	104795	104795	6	10	5
2019-10-14	11:16:00	104800	104815	104780	104780	14	16	5
2019-10-14	11:17:00	104790	104805	104780	104805	10	18	5
2019-10-14	11:18:00	104805	104805	104790	104800	6	6	5
2019-10-14	11:19:00	104780	104805	104780	104805	3	3	5
2019-10-14	11:20:00	104800	104820	104795	104820	6	6	5
2019-10-14	11:21:00	104825	104845	104825	104845	4	12	5
2019-10-14	11:22:00	104785	104795	104780	104795	10	17	5
2019-10-14	11:23:00	104785	104830	104785	104830	3	3	5
2019-10-14	11:24:00	104815	104825	104800	104815	6	13	5
2019-10-14	11:25:00	104775	104785	104750	104780	26	35	5
2019-10-14	11:26:00	104805	104825	104805	104805	4	4	5
2019-10-14	11:27:00	104780	104780	104780	104780	1	1	5
2019-10-14	11:28:00	104815	104875	104800	104865	30	69	5
2019-10-14	11:29:00	104865	104925	104850	104850	42	92	5
2019-10-14	11:30:00	104855	104890	104840	104890	18	34	5
2019-10-14	11:31:00	104885	104965	104885	104965	27	5089	5
2019-10-14	11:32:00	104975	104995	104945	104945	32	77	5
2019-10-14	11:33:00	104935	105025	104935	105025	23	96	5
2019-10-14	11:34:00	105020	105075	105020	105035	22	5038	5
2019-10-14	11:35:00	105065	105165	105065	105150	27	59	5
2019-10-14	11:36:00	105150	105150	105125	105125	17	39	5
2019-10-14	11:37:00	105085	105085	105055	105080	20	5027	5
2019-10-14	11:38:00	105060	105060	105030	105040	10	10	5
2019-10-14	11:39:00	105100	105120	105085	105115	25	4971	5
2019-10-14	11:40:00	105110	105110	105105	105105	3	7	5
2019-10-14	11:42:00	105100	105125	105100	105115	5	9	5
2019-10-14	11:43:00	105105	105105	105095	105095	3	7	5
2019-10-14	11:44:00	105070	105070	105060	105060	2	2	5
2019-10-14	11:45:00	105085	105085	105085	105085	1	2	5
2019-10-14	11:46:00	105055	105055	105030	105040	12	16	5
2019-10-14	11:47:00	105015	105020	104900	105005	90	174	5
2019-10-14	11:48:00	105020	105035	105020	105035	11	18	5
2019-10-14	11:49:00	105015	105025	105015	105025	2	2	5
2019-10-14	11:50:00	105040	105040	105040	105040	1	1	5
2019-10-14	11:51:00	105090	105100	105090	105100	9	15	5
2019-10-14	11:52:00	105090	105090	105045	105045	9	10	5
2019-10-14	11:53:00	105035	105045	105010	105010	6	6	5
2019-10-14	11:54:00	105005	105005	104975	105000	12	38	5
2019-10-14	11:55:00	104990	105035	104990	105030	13	17	5
2019-10-14	11:56:00	105040	105040	105040	105040	1	1	5
2019-10-14	11:57:00	105030	105055	105025	105050	8	16	5
2019-10-14	11:58:00	105060	105060	105035	105045	5	7	5
2019-10-14	11:59:00	105035	105035	105010	105015	14	18	5
2019-10-14	12:00:00	105040	105080	105040	105055	20	24	5
2019-10-14	12:01:00	105045	105060	105035	105060	4	4	5
2019-10-14	12:02:00	105050	105050	105050	105050	2	6	5
2019-10-14	12:03:00	105040	105040	105025	105035	5	9	5
2019-10-14	12:04:00	105025	105040	104995	104995	23	40	5
2019-10-14	12:05:00	105005	105025	104995	105020	21	35	5
2019-10-14	12:06:00	105020	105060	105020	105060	34	83	5
2019-10-14	12:07:00	105035	105035	105015	105025	20	20	5
2019-10-14	12:08:00	105005	105040	104980	105040	17	22	5
2019-10-14	12:09:00	105050	105050	105015	105015	12	14	5
2019-10-14	12:10:00	105015	105040	105015	105025	5	9	5
2019-10-14	12:11:00	105015	105040	105015	105040	2	2	5
2019-10-14	12:12:00	105015	105020	104995	105020	11	19	5
2019-10-14	12:13:00	105030	105040	105030	105040	2	2	5
2019-10-14	12:14:00	105050	105100	105050	105095	20	28	5
2019-10-14	12:15:00	105075	105100	105075	105100	6	6	5
2019-10-14	12:16:00	105100	105100	105080	105080	6	25	5
2019-10-14	12:17:00	105100	105130	105100	105105	9	20	5
2019-10-14	12:18:00	105095	105110	105085	105085	6	9	5
2019-10-14	12:19:00	105095	105095	105095	105095	1	1	5
2019-10-14	12:20:00	105075	105075	105035	105045	7	11	5
2019-10-14	12:21:00	105025	105025	105025	105025	1	1	5
2019-10-14	12:22:00	105040	105040	105005	105015	9	16	5
2019-10-14	12:23:00	105000	105005	104995	105005	8	9	5
2019-10-14	12:24:00	105025	105025	105015	105015	2	2	5
2019-10-14	12:25:00	104995	104995	104920	104925	11	17	5
2019-10-14	12:26:00	104915	104945	104900	104935	16	33	5
2019-10-14	12:27:00	104910	104935	104895	104910	20	31	5
2019-10-14	12:28:00	104895	104920	104880	104880	17	27	5
2019-10-14	12:29:00	104880	104895	104880	104880	6	12	5
2019-10-14	12:30:00	104860	104925	104850	104925	21	23	5
2019-10-14	12:32:00	104950	104950	104915	104925	12	12	5
2019-10-14	12:33:00	104915	104975	104915	104945	22	34	5
2019-10-14	12:34:00	104955	104955	104940	104940	6	8	5
2019-10-14	12:36:00	104970	104995	104970	104980	12	19	5
2019-10-14	12:37:00	104960	104960	104960	104960	4	7	5
2019-10-14	12:38:00	104985	104985	104970	104970	2	6	5
2019-10-14	12:39:00	104955	104960	104955	104960	16	67	5
2019-10-14	12:40:00	104960	104980	104960	104980	5	6	5
2019-10-14	12:41:00	104985	104985	104985	104985	1	1	5
2019-10-14	12:42:00	104990	105030	104990	105000	11	24	5
2019-10-14	12:44:00	104970	104970	104970	104970	2	2	5
2019-10-14	12:45:00	105000	105000	104970	104970	22	41	5
2019-10-14	12:47:00	104995	104995	104995	104995	1	1	5
2019-10-14	12:50:00	104950	104950	104900	104900	3	4	5
2019-10-14	12:51:00	104940	104970	104940	104970	13	25	5
2019-10-14	12:52:00	104915	104915	104915	104915	4	6	5
2019-10-14	12:54:00	104940	104940	104935	104935	2	2	5
2019-10-14	12:55:00	104935	104935	104935	104935	4	6	5
2019-10-14	12:57:00	104915	104920	104915	104920	2	2	5
2019-10-14	12:58:00	104935	104935	104900	104900	3	3	5
2019-10-14	12:59:00	104865	104885	104860	104885	5	5	5
2019-10-14	13:00:00	104880	104880	104880	104880	7	21	5
2019-10-14	13:02:00	104870	104880	104865	104880	6	10	5
