<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2019-10-15	14:42:00	105905	105940	105885	105905	69	170	5
2019-10-15	14:43:00	105910	105915	105895	105905	23	55	5
2019-10-15	14:44:00	105910	105910	105880	105885	50	73	5
2019-10-15	14:45:00	105885	105910	105855	105905	44	95	5
2019-10-15	14:46:00	105900	105900	105880	105895	29	87	5
2019-10-15	14:47:00	105890	105890	105875	105885	31	69	5
2019-10-15	14:48:00	105875	105885	105860	105865	20	33	5
2019-10-15	14:49:00	105855	105855	105740	105795	166	590	5
2019-10-15	14:50:00	105785	105820	105780	105795	30	59	5
2019-10-15	14:51:00	105805	105820	105730	105760	59	95	5
2019-10-15	14:52:00	105745	105770	105735	105770	19	26	5
2019-10-15	14:53:00	105775	105790	105720	105775	48	161	5
2019-10-15	14:54:00	105780	105795	105745	105755	30	68	5
2019-10-15	14:55:00	105740	105760	105725	105760	28	61	5
2019-10-15	14:56:00	105765	105800	105750	105775	30	59	5
2019-10-15	14:57:00	105780	105780	105740	105770	17	46	5
2019-10-15	14:58:00	105760	105780	105760	105780	14	18	5
2019-10-15	14:59:00	105775	105780	105760	105770	9	13	5
2019-10-15	15:00:00	105765	105785	105740	105740	25	41	5
2019-10-15	15:01:00	105750	105760	105735	105735	28	58	5
2019-10-15	15:02:00	105725	105725	105650	105675	144	275	5
2019-10-15	15:03:00	105670	105690	105670	105680	25	40	5
2019-10-15	15:04:00	105685	105690	105650	105655	79	198	5
2019-10-15	15:05:00	105640	105650	105610	105610	86	197	5
2019-10-15	15:06:00	105615	105675	105615	105630	114	600	5
2019-10-15	15:07:00	105630	105650	105615	105630	38	71	5
2019-10-15	15:08:00	105630	105630	105585	105600	77	182	5
2019-10-15	15:09:00	105605	105610	105595	105610	28	46	5
2019-10-15	15:10:00	105605	105680	105580	105660	84	165	5
2019-10-15	15:11:00	105655	105660	105620	105620	26	65	5
2019-10-15	15:12:00	105625	105650	105625	105645	11	14	5
2019-10-15	15:13:00	105635	105640	105600	105600	34	100	5
2019-10-15	15:14:00	105605	105620	105605	105610	12	13	5
2019-10-15	15:15:00	105630	105645	105625	105625	29	44	5
2019-10-15	15:16:00	105635	105635	105600	105625	17	31	5
2019-10-15	15:17:00	105620	105650	105620	105630	10	14	5
2019-10-15	15:18:00	105640	105655	105635	105645	20	31	5
2019-10-15	15:19:00	105645	105680	105630	105670	35	54	5
2019-10-15	15:20:00	105660	105680	105650	105670	25	44	5
2019-10-15	15:21:00	105675	105805	105645	105685	351	1031	5
2019-10-15	15:22:00	105680	105685	105655	105655	37	80	5
2019-10-15	15:23:00	105655	105675	105650	105655	29	78	5
2019-10-15	15:24:00	105670	105670	105650	105665	21	46	5
2019-10-15	15:25:00	105645	105700	105640	105690	19	38	5
2019-10-15	15:26:00	105690	105695	105670	105690	12	16	5
2019-10-15	15:27:00	105700	105700	105655	105655	11	16	5
2019-10-15	15:28:00	105675	105675	105620	105655	24	36	5
2019-10-15	15:29:00	105655	105665	105645	105665	12	17	5
2019-10-15	15:30:00	105650	105655	105625	105625	18	36	5
2019-10-15	15:31:00	105635	105660	105625	105660	16	27	5
2019-10-15	15:32:00	105660	105690	105635	105675	60	137	5
2019-10-15	15:33:00	105670	105670	105650	105650	11	26	5
2019-10-15	15:34:00	105640	105645	105625	105640	41	72	5
2019-10-15	15:35:00	105645	105660	105630	105630	12	21	5
2019-10-15	15:36:00	105650	105675	105645	105660	23	40	5
2019-10-15	15:37:00	105650	105655	105635	105650	25	43	5
2019-10-15	15:38:00	105640	105655	105615	105655	27	49	5
2019-10-15	15:39:00	105645	105645	105635	105640	18	83	5
2019-10-15	15:40:00	105650	105665	105615	105625	51	103	5
2019-10-15	15:41:00	105615	105650	105600	105650	69	137	5
2019-10-15	15:42:00	105650	105665	105645	105645	9	19	5
2019-10-15	15:43:00	105640	105675	105640	105665	31	62	5
2019-10-15	15:44:00	105650	105665	105650	105665	27	87	5
2019-10-15	15:45:00	105665	105705	105650	105650	60	148	5
2019-10-15	15:46:00	105655	105675	105650	105675	21	43	5
2019-10-15	15:47:00	105675	105675	105660	105660	12	32	5
2019-10-15	15:48:00	105660	105670	105550	105570	158	676	5
2019-10-15	15:49:00	105560	105585	105530	105560	168	415	5
2019-10-15	15:50:00	105555	105580	105535	105535	50	71	5
2019-10-15	15:51:00	105550	105565	105535	105560	82	147	5
2019-10-15	15:52:00	105550	105560	105520	105540	67	169	5
2019-10-15	15:53:00	105540	105555	105535	105535	21	67	5
2019-10-15	15:54:00	105540	105560	105530	105555	35	72	5
2019-10-15	15:55:00	105560	105585	105555	105555	120	222	5
2019-10-15	15:56:00	105550	105565	105540	105560	24	33	5
2019-10-15	15:57:00	105560	105625	105550	105590	76	164	5
2019-10-15	15:58:00	105590	105625	105585	105600	35	86	5
2019-10-15	15:59:00	105605	105605	105575	105595	61	202	5
2019-10-15	16:00:00	105595	105605	105580	105585	46	101	5
2019-10-15	16:01:00	105590	105590	105560	105560	31	62	5
2019-10-15	16:02:00	105540	105560	105535	105535	24	47	5
2019-10-15	16:03:00	105530	105550	105510	105530	78	169	5
2019-10-15	16:04:00	105535	105540	105495	105525	143	1120	5
2019-10-15	16:05:00	105515	105550	105490	105550	24	55	5
2019-10-15	16:06:00	105545	105555	105510	105530	56	107	5
2019-10-15	16:07:00	105535	105560	105535	105550	10	15	5
2019-10-15	16:08:00	105555	105560	105540	105545	8	8	5
2019-10-15	16:09:00	105545	105545	105520	105530	23	55	5
2019-10-15	16:10:00	105545	105545	105520	105525	20	30	5
2019-10-15	16:11:00	105535	105535	105520	105525	8	10	5
2019-10-15	16:12:00	105535	105540	105485	105530	63	150	5
2019-10-15	16:13:00	105525	105530	105500	105515	55	140	5
2019-10-15	16:14:00	105530	105545	105520	105545	18	30	5
2019-10-15	16:15:00	105535	105540	105500	105515	35	110	5
2019-10-15	16:16:00	105530	105535	105525	105525	13	53	5
2019-10-15	16:17:00	105525	105575	105525	105540	93	572	5
2019-10-15	16:18:00	105530	105545	105505	105520	54	128	5
2019-10-15	16:19:00	105525	105525	105500	105500	37	199	5
2019-10-15	16:20:00	105500	105505	105495	105500	38	82	5
2019-10-15	16:21:00	105495	105500	105480	105480	69	250	5
2019-10-15	16:22:00	105485	105490	105440	105450	146	519	5
2019-10-15	16:23:00	105450	105475	105450	105455	53	201	5
2019-10-15	16:24:00	105450	105465	105400	105430	126	412	5
2019-10-15	16:25:00	105430	105430	105350	105395	167	1657	5
2019-10-15	16:26:00	105400	105555	105390	105425	156	587	5
2019-10-15	16:27:00	105420	105435	105420	105430	31	57	5
2019-10-15	16:28:00	105425	105435	105420	105435	19	38	5
2019-10-15	16:29:00	105430	105485	105420	105460	69	150	5
2019-10-15	16:30:00	105480	105480	105440	105460	19	25	5
2019-10-15	16:31:00	105450	105475	105445	105475	31	69	5
2019-10-15	16:32:00	105460	105460	105430	105435	46	117	5
2019-10-15	16:33:00	105440	105440	105410	105415	51	91	5
2019-10-15	16:34:00	105430	105470	105420	105465	16	27	5
2019-10-15	16:35:00	105465	105500	105465	105475	53	81	5
2019-10-15	16:36:00	105475	105485	105470	105485	16	31	5
2019-10-15	16:37:00	105485	105485	105480	105480	12	23	5
2019-10-15	16:38:00	105480	105480	105460	105475	24	48	5
2019-10-15	16:39:00	105485	105500	105460	105500	36	1407	5
2019-10-15	16:40:00	105490	105495	105465	105470	8	15	5
2019-10-15	16:41:00	105465	105470	105450	105450	28	71	5
2019-10-15	16:42:00	105445	105450	105435	105450	30	56	5
2019-10-15	16:43:00	105450	105450	105440	105440	10	19	5
2019-10-15	16:44:00	105455	105475	105445	105455	37	60	5
2019-10-15	16:45:00	105440	105470	105440	105450	32	57	5
2019-10-15	16:46:00	105440	105440	105430	105435	7	15	5
2019-10-15	16:47:00	105430	105430	105400	105415	53	103	5
2019-10-15	16:48:00	105400	105415	105355	105395	121	616	5
2019-10-15	16:49:00	105370	105375	105340	105360	105	260	5
2019-10-15	16:50:00	105375	105395	105370	105390	45	88	5
2019-10-15	16:51:00	105395	105415	105375	105390	38	99	5
2019-10-15	16:52:00	105375	105375	105310	105350	100	584	5
2019-10-15	16:53:00	105350	105360	105350	105360	10	28	5
2019-10-15	16:54:00	105360	105370	105340	105340	34	61	5
2019-10-15	16:55:00	105355	105380	105290	105310	206	620	5
2019-10-15	16:56:00	105315	105320	105305	105320	16	37	5
2019-10-15	16:57:00	105315	105320	105260	105275	79	193	5
2019-10-15	16:58:00	105270	105300	105260	105295	65	157	5
2019-10-15	16:59:00	105285	105285	105260	105260	83	241	5
2019-10-15	17:00:00	105260	105305	105240	105280	108	315	5
2019-10-15	17:01:00	105280	105285	105270	105275	21	37	5
2019-10-15	17:02:00	105280	105295	105245	105260	68	167	5
2019-10-15	17:03:00	105255	105275	105230	105250	67	197	5
2019-10-15	17:04:00	105245	105270	105220	105270	130	327	5
2019-10-15	17:05:00	105240	105275	105200	105270	315	1825	5
2019-10-15	17:06:00	105255	105275	105255	105265	38	116	5
2019-10-15	17:07:00	105255	105275	105255	105260	28	42	5
2019-10-15	17:08:00	105260	105270	105255	105270	24	36	5
2019-10-15	17:09:00	105265	105265	105245	105255	26	51	5
2019-10-15	17:10:00	105250	105265	105245	105265	21	42	5
2019-10-15	17:11:00	105265	105275	105255	105255	20	32	5
2019-10-15	17:12:00	105270	105270	105255	105265	18	44	5
2019-10-15	17:13:00	105255	105270	105215	105235	27	44	5
2019-10-15	17:14:00	105235	105265	105230	105245	58	217	5
2019-10-15	17:15:00	105250	105265	105235	105265	40	113	5
2019-10-15	17:16:00	105245	105245	105225	105245	27	74	5
2019-10-15	17:17:00	105235	105240	105215	105235	17	36	5
2019-10-15	17:18:00	105240	105265	105200	105230	156	1478	5
2019-10-15	17:19:00	105230	105235	105230	105235	13	32	5
2019-10-15	17:20:00	105230	105245	105205	105205	30	41	5
2019-10-15	17:21:00	105205	105230	105145	105205	304	1251	5
2019-10-15	17:22:00	105185	105210	105155	105190	95	236	5
2019-10-15	17:23:00	105190	105215	105190	105190	28	57	5
2019-10-15	17:24:00	105170	105175	105155	105170	10	20	5
2019-10-15	17:25:00	105170	105175	105170	105170	4	5	5
2019-10-15	17:26:00	105180	105180	105180	105180	12	103	5
2019-10-15	17:27:00	105185	105185	105165	105170	14	40	5
2019-10-15	17:28:00	105160	105160	105140	105145	28	49	5
2019-10-15	17:29:00	105145	105145	105125	105140	39	112	5
2019-10-15	17:30:00	105140	105155	105120	105130	54	154	5
2019-10-15	17:31:00	105135	105135	105080	105110	114	374	5
2019-10-15	17:32:00	105110	105125	105110	105120	20	56	5
2019-10-15	17:33:00	105115	105145	105115	105115	296	1479	5
2019-10-15	17:34:00	105115	105130	105115	105125	16	139	5
2019-10-15	17:35:00	105130	105130	105125	105130	22	127	5
2019-10-15	17:36:00	105130	105130	105115	105125	22	161	5
2019-10-15	17:37:00	105120	105130	105075	105105	63	214	5
2019-10-15	17:38:00	105115	105115	105100	105100	21	39	5
2019-10-15	17:39:00	105095	105120	105090	105100	57	126	5
2019-10-15	17:40:00	105100	105140	105090	105110	74	182	5
2019-10-15	17:41:00	105120	105155	105115	105155	53	94	5
2019-10-15	17:42:00	105155	105170	105145	105170	38	71	5
2019-10-15	17:43:00	105170	105170	105150	105150	44	70	5
2019-10-15	17:44:00	105150	105170	105150	105160	28	103	5
2019-10-15	17:45:00	105145	105155	105130	105150	30	65	5
2019-10-15	17:46:00	105160	105200	105160	105180	22	49	5
2019-10-15	17:47:00	105170	105200	105160	105180	34	79	5
2019-10-15	17:48:00	105180	105195	105155	105155	26	59	5
2019-10-15	17:49:00	105145	105165	105140	105140	28	76	5
2019-10-15	17:50:00	105135	105140	105075	105110	144	596	5
2019-10-15	17:51:00	105095	105100	105055	105080	93	331	5
2019-10-15	17:52:00	105075	105090	105060	105085	60	195	5
2019-10-15	17:53:00	105075	105090	105010	105025	112	373	5
2019-10-15	17:54:00	105040	105075	105000	105000	139	531	5
2019-10-16	09:00:00	105010	105060	104960	104965	1879	6277	5
2019-10-16	09:01:00	104965	105015	104885	105010	4483	13422	5
2019-10-16	09:02:00	105015	105095	105005	105090	4254	13327	5
2019-10-16	09:03:00	105085	105140	105080	105110	3377	9603	5
2019-10-16	09:04:00	105110	105180	105110	105150	3835	11511	5
2019-10-16	09:05:00	105155	105180	105135	105135	3446	10264	5
2019-10-16	09:06:00	105135	105235	105135	105210	5560	18307	5
2019-10-16	09:07:00	105210	105245	105205	105240	2601	8625	5
2019-10-16	09:08:00	105235	105265	105230	105240	3455	12498	5
2019-10-16	09:09:00	105245	105265	105235	105260	2294	8192	5
2019-10-16	09:10:00	105260	105275	105235	105245	3463	12844	5
2019-10-16	09:11:00	105245	105285	105240	105255	2320	7739	5
2019-10-16	09:12:00	105260	105300	105250	105295	2886	10173	5
2019-10-16	09:13:00	105295	105335	105285	105330	4621	15331	5
2019-10-16	09:14:00	105330	105370	105325	105350	4522	15336	5
2019-10-16	09:15:00	105355	105370	105340	105365	3341	10878	5
2019-10-16	09:16:00	105360	105370	105345	105350	1747	5557	5
2019-10-16	09:17:00	105350	105355	105310	105330	3505	10705	5
2019-10-16	09:18:00	105325	105360	105325	105360	1464	4408	5
2019-10-16	09:19:00	105355	105385	105335	105340	3349	10526	5
2019-10-16	09:20:00	105345	105355	105290	105315	5076	16017	5
2019-10-16	09:21:00	105315	105325	105300	105320	2055	6324	5
2019-10-16	09:22:00	105320	105425	105320	105410	9141	26859	5
2019-10-16	09:23:00	105410	105420	105385	105400	3523	12894	5
2019-10-16	09:24:00	105400	105400	105355	105375	3792	12400	5
2019-10-16	09:25:00	105375	105410	105370	105385	2679	8773	5
2019-10-16	09:26:00	105385	105395	105355	105365	2456	9585	5
2019-10-16	09:27:00	105365	105380	105350	105365	1072	3844	5
2019-10-16	09:28:00	105365	105380	105355	105365	533	2046	5
2019-10-16	09:29:00	105365	105375	105300	105330	4080	13742	5
2019-10-16	09:30:00	105330	105385	105205	105290	13676	50396	5
2019-10-16	09:31:00	105290	105315	105265	105305	3030	11861	5
2019-10-16	09:32:00	105305	105375	105265	105290	5488	19287	5
2019-10-16	09:33:00	105295	105330	105285	105300	1863	6131	5
2019-10-16	09:34:00	105305	105325	105280	105290	1532	5427	5
2019-10-16	09:35:00	105290	105300	105245	105255	3805	13646	5
2019-10-16	09:36:00	105250	105255	105160	105185	7711	25398	5
2019-10-16	09:37:00	105180	105185	105130	105175	5778	19704	5
2019-10-16	09:38:00	105175	105205	105160	105180	2890	9758	5
2019-10-16	09:39:00	105180	105205	105155	105175	2258	8154	5
2019-10-16	09:40:00	105175	105205	105145	105205	3321	10000	5
2019-10-16	09:41:00	105205	105250	105195	105235	5334	17621	5
2019-10-16	09:42:00	105240	105280	105215	105270	3677	11413	5
2019-10-16	09:43:00	105270	105295	105240	105250	3954	13142	5
2019-10-16	09:44:00	105250	105250	105185	105210	3825	14053	5
2019-10-16	09:45:00	105210	105215	105165	105170	3242	10741	5
2019-10-16	09:46:00	105170	105185	105050	105065	11196	33813	5
2019-10-16	09:47:00	105065	105095	105035	105065	5658	18726	5
2019-10-16	09:48:00	105065	105120	105060	105095	3681	12674	5
2019-10-16	09:49:00	105090	105110	105080	105080	1203	4500	5
2019-10-16	09:50:00	105085	105120	105070	105095	2790	9011	5
2019-10-16	09:51:00	105100	105110	105060	105100	1792	6143	5
2019-10-16	09:52:00	105105	105110	105080	105095	865	2838	5
2019-10-16	09:53:00	105095	105115	105090	105095	1002	3881	5
2019-10-16	09:54:00	105095	105130	105085	105095	1946	6293	5
2019-10-16	09:55:00	105095	105100	105040	105060	3713	10719	5
2019-10-16	09:56:00	105060	105095	105040	105070	2399	7890	5
2019-10-16	09:57:00	105070	105075	105010	105040	4855	16295	5
2019-10-16	09:58:00	105040	105065	105030	105065	1829	6405	5
2019-10-16	09:59:00	105060	105100	105050	105085	2131	6751	5
2019-10-16	10:00:00	105090	105125	105085	105110	4063	13243	5
2019-10-16	10:01:00	105110	105120	105060	105085	2592	9580	5
2019-10-16	10:02:00	105085	105120	105075	105115	1257	4621	5
2019-10-16	10:03:00	105120	105165	105095	105115	6792	21899	5
2019-10-16	10:04:00	105115	105125	105090	105120	1395	5363	5
2019-10-16	10:05:00	105120	105130	105075	105100	2539	9659	5
2019-10-16	10:06:00	105100	105130	105090	105125	1807	6889	5
2019-10-16	10:07:00	105120	105125	105030	105105	5269	19253	5
2019-10-16	10:08:00	105100	105140	105075	105115	2695	10893	5
2019-10-16	10:09:00	105120	105140	105090	105100	2900	12457	5
2019-10-16	10:10:00	105100	105125	105080	105115	2291	12748	5
2019-10-16	10:11:00	105120	105190	105100	105135	6286	22365	5
2019-10-16	10:12:00	105135	105170	105115	105155	2814	10913	5
2019-10-16	10:13:00	105150	105185	105145	105150	3005	12727	5
2019-10-16	10:14:00	105155	105160	104960	105015	13046	46071	5
2019-10-16	10:15:00	105015	105035	104835	104855	16049	55120	5
2019-10-16	10:16:00	104860	104860	104765	104810	10436	37581	5
2019-10-16	10:17:00	104805	104820	104725	104765	6503	24644	5
2019-10-16	10:18:00	104770	104785	104715	104745	3909	14472	5
2019-10-16	10:19:00	104740	104745	104700	104720	4828	19090	5
2019-10-16	10:20:00	104720	104725	104595	104615	10692	39257	5
2019-10-16	10:21:00	104615	104645	104600	104620	3581	14097	5
2019-10-16	10:22:00	104620	104675	104575	104610	7201	28566	5
2019-10-16	10:23:00	104615	104625	104530	104540	7321	29708	5
2019-10-16	10:24:00	104540	104560	104495	104535	6846	27847	5
2019-10-16	10:25:00	104535	104545	104400	104400	9475	36765	5
2019-10-16	10:26:00	104400	104440	104355	104400	10647	42079	5
2019-10-16	10:27:00	104400	104440	104395	104425	3187	14120	5
2019-10-16	10:28:00	104430	104480	104400	104475	4543	17629	5
2019-10-16	10:29:00	104475	104480	104430	104480	3418	16396	5
2019-10-16	10:30:00	104480	104490	104385	104435	7736	35941	5
2019-10-16	10:31:00	104440	104570	104405	104540	9340	36460	5
2019-10-16	10:32:00	104545	104560	104475	104505	5104	20826	5
2019-10-16	10:33:00	104505	104600	104480	104550	6100	25911	5
2019-10-16	10:34:00	104550	104600	104500	104550	5015	24441	5
2019-10-16	10:35:00	104545	104595	104525	104545	4758	20892	5
2019-10-16	10:36:00	104550	104555	104495	104515	3420	16135	5
2019-10-16	10:37:00	104515	104655	104515	104630	6967	30236	5
2019-10-16	10:38:00	104625	104690	104625	104660	6144	25089	5
2019-10-16	10:39:00	104665	104725	104660	104715	6076	28962	5
2019-10-16	10:40:00	104715	104820	104710	104795	9855	38270	5
2019-10-16	10:41:00	104795	104840	104770	104785	5314	23049	5
2019-10-16	10:42:00	104785	104790	104690	104770	7898	31207	5
2019-10-16	10:43:00	104770	104815	104740	104790	3691	14026	5
2019-10-16	10:44:00	104795	104795	104720	104740	2690	10625	5
2019-10-16	10:45:00	104735	104770	104705	104735	3674	15043	5
2019-10-16	10:46:00	104735	104790	104715	104765	2980	13296	5
2019-10-16	10:47:00	104770	104830	104765	104815	4875	20757	5
2019-10-16	10:48:00	104815	104850	104800	104820	4538	19066	5
2019-10-16	10:49:00	104825	104845	104775	104825	2902	12026	5
2019-10-16	10:50:00	104825	104835	104750	104785	4609	19805	5
2019-10-16	10:51:00	104780	104785	104655	104730	9382	36036	5
2019-10-16	10:52:00	104730	104800	104730	104770	3875	15417	5
2019-10-16	10:53:00	104775	104795	104735	104795	2087	8122	5
2019-10-16	10:54:00	104795	104810	104750	104780	2308	9100	5
2019-10-16	10:55:00	104780	104800	104755	104765	2153	8670	5
2019-10-16	10:56:00	104760	104765	104680	104695	6431	23531	5
2019-10-16	10:57:00	104690	104725	104675	104715	2633	11575	5
2019-10-16	10:58:00	104710	104715	104665	104700	2627	10027	5
2019-10-16	10:59:00	104700	104710	104670	104690	1521	5551	5
2019-10-16	11:00:00	104690	104695	104545	104565	10879	36980	5
2019-10-16	11:01:00	104565	104620	104520	104610	6767	24536	5
2019-10-16	11:02:00	104610	104615	104550	104565	2917	11349	5
2019-10-16	11:03:00	104565	104615	104555	104560	3613	14907	5
2019-10-16	11:04:00	104560	104580	104510	104510	4568	18939	5
2019-10-16	11:05:00	104510	104510	104290	104310	15919	59490	5
2019-10-16	11:06:00	104315	104390	104310	104355	7250	29231	5
2019-10-16	11:07:00	104355	104380	104325	104370	2874	12986	5
2019-10-16	11:08:00	104370	104585	104365	104560	12449	46491	5
2019-10-16	11:09:00	104565	104640	104550	104600	5501	22682	5
2019-10-16	11:10:00	104600	104675	104595	104625	6014	24173	5
2019-10-16	11:11:00	104625	104645	104605	104620	2604	12793	5
2019-10-16	11:12:00	104620	104660	104615	104635	1642	7616	5
2019-10-16	11:13:00	104635	104645	104570	104600	3919	17237	5
2019-10-16	11:14:00	104600	104645	104590	104595	2298	8915	5
2019-10-16	11:15:00	104595	104625	104555	104610	4154	15211	5
2019-10-16	11:16:00	104610	104635	104570	104590	2537	10321	5
2019-10-16	11:17:00	104595	104740	104585	104700	7314	28006	5
2019-10-16	11:18:00	104700	104760	104695	104715	5032	21291	5
2019-10-16	11:19:00	104715	104750	104700	104710	2681	13446	5
2019-10-16	11:20:00	104710	104735	104690	104720	2260	9647	5
2019-10-16	11:21:00	104720	104745	104690	104695	2374	10476	5
2019-10-16	11:22:00	104700	104700	104610	104655	5351	18801	5
2019-10-16	11:23:00	104655	104725	104655	104660	3035	11994	5
2019-10-16	11:24:00	104660	104725	104660	104705	2604	11896	5
2019-10-16	11:25:00	104705	104735	104660	104690	2590	11216	5
2019-10-16	11:26:00	104695	104795	104690	104765	6319	25372	5
2019-10-16	11:27:00	104765	104810	104725	104765	4166	17689	5
2019-10-16	11:28:00	104760	104840	104755	104830	4554	19004	5
2019-10-16	11:29:00	104830	104860	104805	104825	4277	18940	5
2019-10-16	11:30:00	104820	104905	104820	104825	7711	30868	5
2019-10-16	11:31:00	104830	104835	104775	104790	4303	16337	5
2019-10-16	11:32:00	104795	104830	104785	104805	2311	10195	5
2019-10-16	11:33:00	104800	104850	104785	104825	2769	12169	5
2019-10-16	11:34:00	104825	104830	104780	104825	2488	12549	5
2019-10-16	11:35:00	104830	104850	104745	104765	5368	20502	5
2019-10-16	11:36:00	104765	104805	104750	104770	2676	11459	5
2019-10-16	11:37:00	104765	104815	104755	104760	1738	6710	5
2019-10-16	11:38:00	104760	104775	104725	104755	3175	12653	5
2019-10-16	11:39:00	104755	104810	104740	104745	2565	10899	5
2019-10-16	11:40:00	104745	104775	104710	104745	4352	16914	5
2019-10-16	11:41:00	104750	104780	104720	104740	2078	9486	5
2019-10-16	11:42:00	104740	104740	104690	104715	2637	10224	5
2019-10-16	11:43:00	104715	104795	104705	104795	2812	10659	5
2019-10-16	11:44:00	104795	104870	104790	104840	6240	25186	5
2019-10-16	11:45:00	104840	104935	104830	104925	8232	33214	5
2019-10-16	11:46:00	104920	104950	104890	104910	4056	17068	5
2019-10-16	11:47:00	104910	104915	104850	104885	3726	15634	5
2019-10-16	11:48:00	104890	104900	104845	104895	2404	10726	5
2019-10-16	11:49:00	104895	104920	104850	104895	3281	15586	5
2019-10-16	11:50:00	104895	104930	104890	104910	2579	10632	5
2019-10-16	11:51:00	104910	104940	104885	104915	2897	13362	5
2019-10-16	11:52:00	104920	104965	104890	104920	4848	21455	5
2019-10-16	11:53:00	104925	104975	104890	104965	3982	17379	5
2019-10-16	11:54:00	104965	104985	104945	104970	2987	14451	5
2019-10-16	11:55:00	104975	105060	104970	105050	6666	23884	5
2019-10-16	11:56:00	105045	105055	105005	105020	3399	14970	5
2019-10-16	11:57:00	105020	105025	104910	104915	6065	22522	5
2019-10-16	11:58:00	104910	104935	104865	104885	4288	16244	5
2019-10-16	11:59:00	104885	104890	104855	104875	2595	10969	5
2019-10-16	12:00:00	104875	104875	104780	104805	7862	30018	5
2019-10-16	12:01:00	104805	104830	104760	104820	4493	18074	5
2019-10-16	12:02:00	104820	104835	104775	104790	2682	11322	5
2019-10-16	12:03:00	104790	104810	104760	104795	2351	11691	5
2019-10-16	12:04:00	104790	104810	104770	104785	1708	8923	5
2019-10-16	12:05:00	104785	104800	104740	104770	3126	12766	5
2019-10-16	12:06:00	104770	104795	104770	104775	1473	8801	5
2019-10-16	12:07:00	104780	104790	104760	104780	1674	8327	5
2019-10-16	12:08:00	104780	104790	104715	104725	3792	18195	5
2019-10-16	12:09:00	104730	104750	104720	104740	1828	8317	5
2019-10-16	12:10:00	104740	104785	104735	104760	2292	8827	5
2019-10-16	12:11:00	104760	104900	104760	104890	6722	23646	5
2019-10-16	12:12:00	104885	104900	104835	104895	3837	17187	5
2019-10-16	12:13:00	104895	104960	104870	104955	4552	18256	5
2019-10-16	12:14:00	104955	104965	104920	104945	2797	12601	5
2019-10-16	12:15:00	104940	105020	104930	105015	7141	29892	5
2019-10-16	12:16:00	105010	105045	104980	105030	4491	19521	5
2019-10-16	12:17:00	105030	105075	105010	105010	4721	19167	5
2019-10-16	12:18:00	105015	105025	104960	104985	3830	15904	5
2019-10-16	12:19:00	104980	105040	104980	105020	2407	10431	5
2019-10-16	12:20:00	105020	105070	104985	105035	4718	20797	5
2019-10-16	12:21:00	105030	105055	104975	104985	2821	12914	5
2019-10-16	12:22:00	104985	105010	104900	104910	4947	19633	5
2019-10-16	12:23:00	104915	104945	104885	104930	2755	10545	5
2019-10-16	12:24:00	104930	104955	104875	104885	2506	10103	5
2019-10-16	12:25:00	104880	104890	104810	104835	4863	18577	5
2019-10-16	12:26:00	104835	104875	104820	104850	2099	9633	5
2019-10-16	12:27:00	104845	104850	104785	104825	3053	12694	5
2019-10-16	12:28:00	104825	104840	104800	104830	1528	6709	5
2019-10-16	12:29:00	104830	104835	104785	104815	1677	8291	5
2019-10-16	12:30:00	104815	104905	104810	104850	4664	16456	5
2019-10-16	12:31:00	104850	104920	104850	104895	2480	9828	5
2019-10-16	12:32:00	104890	104920	104870	104885	1580	6640	5
2019-10-16	12:33:00	104885	104895	104860	104890	1506	6867	5
2019-10-16	12:34:00	104890	104925	104880	104920	1937	8295	5
2019-10-16	12:35:00	104920	104955	104915	104945	2477	10490	5
2019-10-16	12:36:00	104945	104980	104920	104975	2457	8866	5
2019-10-16	12:37:00	104975	105015	104965	104995	2534	10642	5
2019-10-16	12:38:00	104990	105000	104955	104970	2155	9029	5
2019-10-16	12:39:00	104970	104985	104900	104920	3151	12186	5
2019-10-16	12:40:00	104920	104950	104910	104950	1451	5804	5
2019-10-16	12:41:00	104950	104960	104915	104925	1381	5736	5
2019-10-16	12:42:00	104925	104985	104905	104975	1855	7483	5
2019-10-16	12:43:00	104975	104990	104955	104960	1148	4925	5
2019-10-16	12:44:00	104960	104985	104940	104975	1040	4435	5
2019-10-16	12:45:00	104975	105055	104965	105030	4031	14519	5
2019-10-16	12:46:00	105030	105085	105030	105050	3672	14470	5
2019-10-16	12:47:00	105055	105120	105045	105105	4058	16461	5
2019-10-16	12:48:00	105105	105120	105085	105085	2568	9113	5
2019-10-16	12:49:00	105085	105100	105040	105090	3572	15401	5
2019-10-16	12:50:00	105090	105145	105045	105060	4243	19041	5
2019-10-16	12:51:00	105060	105075	105050	105070	946	4352	5
2019-10-16	12:52:00	105070	105110	105060	105090	1338	5991	5
2019-10-16	12:53:00	105090	105105	105070	105105	784	3796	5
2019-10-16	12:54:00	105100	105105	105075	105075	904	4105	5
2019-10-16	12:55:00	105075	105080	105040	105065	2289	7922	5
2019-10-16	12:56:00	105065	105080	105050	105070	791	3406	5
2019-10-16	12:57:00	105075	105095	105060	105065	986	4432	5
2019-10-16	12:58:00	105065	105075	105050	105060	606	2406	5
2019-10-16	12:59:00	105060	105080	105045	105055	842	4197	5
2019-10-16	13:00:00	105060	105115	105055	105085	2019	8091	5
